ID,类型,SKU,"GTIN, UPC, EAN, or ISBN",名称,已发布,是推荐产品？,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货？,库存,库存不足,允许缺货下单？,单独出售？,重量(公斤),长度(厘米),"宽度 (厘米)","高度 (厘米)",允许客户评价？,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,品牌,"属性 1 名称","属性 1 值","属性 1 可见","属性 1  的全局","属性 2 名称","属性 2 值","属性 2 可见","属性 2  的全局"
63,simple,,,"White crystal bracelet",1,0,visible,"White crystal bracelet","White crystal bracelets, also known as clear quartz bracelets, are elegant pieces of jewelry made from natural clear quartz crystals. These transparent beads are believed to amplify energy, enhance clarity of thought, and promote spiritual awareness. The pure, colorless nature of white crystal symbolizes purity and harmony. Many people wear these bracelets not only for their aesthetic beauty but also for their supposed metaphysical properties, including promoting positive energy and mental clarity. The crystals are typically polished into smooth, round beads and strung together to create a versatile accessory that complements any outfit while maintaining its spiritual significance.",,,taxable,,1,50,,0,0,0.1,0.1,0.1,0.1,1,,15.99,32.99,"Accessories > Bracelet",,,http://175.178.77.28/wp-content/uploads/2025/01/WechatIMG180.jpeg,,,,,,,,,0,,size,"4mm, 6mm, 8mm, 10mm",1,0,,,,
64,simple,,,"Pink crystal bracelet",1,0,visible,"Pink crystal bracelet","Pink crystal braceletPink crystal braceletPink crystal braceletPink crystal braceletPink crystal bracelet",,,taxable,,1,,,0,0,,0.1,0.1,0.1,1,,19.99,40.99,"Accessories > Bracelet",,,http://175.178.77.28/wp-content/uploads/2025/01/WechatIMG182.jpeg,,,,,,,,,0,,,,,,,,,
105,variable,,,"Aquamarine bracelet",1,0,visible,"Aquamarine bracelet","The aquamarine bracelet is a stunning piece of jewelry crafted from natural aquamarine gemstones. These translucent blue crystals, reminiscent of the serene ocean waters, are carefully selected and polished into smooth beads, then strung together to create an elegant accessory. Aquamarine, known for its calming properties and connection to the sea, ranges in color from light sky blue to deeper marine blue tones. Each bead in the bracelet captures and reflects light beautifully, creating a subtle shimmer that adds sophistication to any outfit. These bracelets are not only fashionable accessories but are also believed in crystal healing practices to promote tranquility, clear communication, and emotional balance. Whether worn alone or stacked with other jewelry pieces, an aquamarine bracelet serves as a timeless addition to one's collection, bringing both beauty and positive energy to its wearer.",,,taxable,,1,300,100,0,0,0.1,0.1,0.1,0.1,1,,,,"Accessories > Bracelet",,,http://175.178.77.28/wp-content/uploads/2025/01/Slice-4.png,,,,,,,,,0,,size,"4mm, 6mm, 8mm",1,0,length,"15cm, 16cm, 17cm",1,0
245,variation,,,"Aquamarine bracelet - 6mm",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,15.99,19.99,,,,,,,id:105,,,,,,4,,size,6mm,,0,length,,,0
247,variation,,,"Aquamarine bracelet - 4mm",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,21.99,25.99,,,,,,,id:105,,,,,,2,,size,4mm,,0,length,,,0
249,variation,,,"Aquamarine bracelet - 8mm",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,25.99,29.99,,,,,,,id:105,,,,,,3,,size,8mm,,0,length,,,0
258,simple,,,"Silver Aquamarine Ring",1,0,visible,,"This silver aquamarine ring perfectly combines elegance and nature. The band is crafted from high-quality silver with smooth lines for comfortable wear. The center aquamarine gem is as deep as the sea, sparkling under light, symbolizing tranquility and strength. Each stone is carefully selected for purity and brilliance. Whether as a symbol of love or a gift for yourself, this ring adds unique charm and grace.",,,taxable,,1,,,0,0,1,,,,1,,,,"Accessories > Ring",Ring,,http://175.178.77.28/wp-content/uploads/2025/01/1737532791864.jpg,,,,,,,,,0,,,,,,,,,
267,simple,,,"Sky Blue Topaz Earrings",1,0,visible,,"Discover the elegance of Sky Blue Topaz Earrings, a perfect blend of sophistication and natural beauty. These earrings feature stunning sky blue topaz stones, renowned for their captivating hue reminiscent of a clear summer sky. Each topaz is expertly cut to enhance its brilliance and sparkle, reflecting light with every movement. Set in high-quality sterling silver, these earrings offer both durability and a timeless look. Ideal for any occasion, from casual outings to formal events, they add a touch of elegance and charm to any ensemble. Whether you're treating yourself or gifting a loved one, these earrings are sure to impress with their exquisite design and vibrant color. Embrace the serene beauty of sky blue topaz and let these earrings elevate your style with their graceful allure.",,,taxable,,1,,,0,0,,,,,1,,29.99,40.99,"Accessories > Earings",,,http://175.178.77.28/wp-content/uploads/2025/01/1737533162698.jpg,,,,,,,,,0,,,,,,,,,
271,variable,,,"Tourmaline Necklace",1,0,visible,,"This exquisite Pink Tourmaline Necklace Set showcases the mesmerizing beauty of natural tourmaline in rich pink-red hues. The centerpiece features a carefully selected tourmaline stone, known for its remarkable color depth and brilliance. Set in elegant sterling silver, the design combines classic sophistication with modern appeal. The matching pendant and chain create a harmonious ensemble that catches the light beautifully. Perfect for special occasions or everyday luxury, this necklace set adds a touch of romance and elegance to any outfit. A stunning choice for those who appreciate the unique charm of fine gemstone jewelry.",,,taxable,,1,,,0,0,,,,,1,,,,Accessories,,,http://175.178.77.28/wp-content/uploads/2025/01/1737533166506.jpg,,,,,,,,,0,,Stone,"Stone1, Stone2, Stone3, Stone4, Stone5",1,0,,,,
277,variation,,,"Tourmaline Necklace - Stone1",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39.99,,,,,,,id:271,,,,,,1,,Stone,Stone1,,0,,,,
279,variation,,,"Tourmaline Necklace - Stone2",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35.99,,,,,,,id:271,,,,,,2,,Stone,Stone2,,0,,,,
281,variation,,,"Tourmaline Necklace - Stone3",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,45.99,,,,,,,id:271,,,,,,3,,Stone,Stone3,,0,,,,
283,variation,,,"Tourmaline Necklace - Stone4",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,26.99,,,,,,,id:271,,,,,,4,,Stone,Stone4,,0,,,,
285,variation,,,"Tourmaline Necklace - Stone5",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,29.99,,,,,,,id:271,,,,,,5,,Stone,Stone5,,0,,,,
